"years_at_company","employees","attrited","running_total_employees","attrition_pct"
"0","44","16","44","36.36"
"1","171","59","215","34.50"
"2","127","27","342","21.26"
"3","128","20","470","15.63"
"4","110","19","580","17.27"
"5","196","21","776","10.71"
"6","76","9","852","11.84"
"7","90","11","942","12.22"
"8","80","9","1022","11.25"
"9","82","8","1104","9.76"
"10","120","18","1224","15.00"
"11","32","2","1256","6.25"
"12","14","0","1270","0.00"
"13","24","2","1294","8.33"
"14","18","2","1312","11.11"
"15","20","1","1332","5.00"
"16","12","1","1344","8.33"
"17","9","1","1353","11.11"
"18","13","1","1366","7.69"
"19","11","1","1377","9.09"
"20","27","1","1404","3.70"
"21","14","1","1418","7.14"
"22","15","1","1433","6.67"
"23","2","1","1435","50.00"
"24","6","1","1441","16.67"
"25","4","0","1445","0.00"
"26","4","0","1449","0.00"
"27","2","0","1451","0.00"
"29","2","0","1453","0.00"
"30","1","0","1454","0.00"
"31","3","1","1457","33.33"
"32","3","1","1460","33.33"
"33","5","1","1465","20.00"
"34","1","0","1466","0.00"
"36","2","0","1468","0.00"
"37","1","0","1469","0.00"
"40","1","1","1470","100.00"
