"job_satisfaction","job_role","employees","attrition_pct","rank_within_satisfaction"
"1","Sales Representative","12","58.33","8"
"1","Human Resources","10","50.00","9"
"1","Laboratory Technician","56","35.71","2"
"1","Research Scientist","54","24.07","3"
"1","Sales Executive","69","23.19","1"
"1","Healthcare Representative","26","7.69","4"
"1","Manufacturing Director","26","7.69","4"
"1","Manager","21","4.76","6"
"1","Research Director","15","0.00","7"
"2","Sales Representative","21","47.62","5"
"2","Research Scientist","53","18.87","2"
"2","Sales Executive","54","16.67","1"
"2","Laboratory Technician","48","16.67","3"
"2","Human Resources","16","12.50","8"
"2","Healthcare Representative","19","10.53","7"
"2","Manager","21","9.52","5"
"2","Manufacturing Director","32","6.25","4"
"2","Research Director","16","6.25","8"
"3","Sales Representative","27","33.33","6"
"3","Laboratory Technician","75","28.00","3"
"3","Human Resources","13","23.08","9"
"3","Sales Executive","91","19.78","1"
"3","Research Scientist","90","16.67","2"
"3","Manufacturing Director","49","8.16","4"
"3","Manager","27","3.70","6"
"3","Research Director","27","3.70","6"
"3","Healthcare Representative","43","2.33","5"
"4","Sales Representative","23","30.43","7"
"4","Laboratory Technician","80","16.25","3"
"4","Human Resources","13","15.38","9"
"4","Sales Executive","112","12.50","1"
"4","Research Scientist","95","9.47","2"
"4","Healthcare Representative","43","9.30","4"
"4","Manufacturing Director","38","5.26","5"
"4","Manager","33","3.03","6"
"4","Research Director","22","0.00","8"
