"month","applications","hires","prev_month_applications","mom_growth_pct"
"2023-01","91","14",NULL,NULL
"2023-02","76","7","91","-16.5"
"2023-03","100","20","76","31.6"
"2023-04","94","30","100","-6.0"
"2023-05","84","16","94","-10.6"
"2023-06","77","12","84","-8.3"
"2023-07","69","15","77","-10.4"
"2023-08","98","13","69","42.0"
"2023-09","80","19","98","-18.4"
"2023-10","97","12","80","21.3"
"2023-11","59","11","97","-39.2"
"2023-12","94","15","59","59.3"
"2024-01","75","10","94","-20.2"
"2024-02","85","16","75","13.3"
"2024-03","74","9","85","-12.9"
"2024-04","89","11","74","20.3"
"2024-05","76","10","89","-14.6"
"2024-06","82","20","76","7.9"
